Employee_ID,Name,Department,Role,Email,Phone
E100,Kevin Fisher,HR,Manager,wesley13@jackson.biz,001-526-839-5174
E101,Lori Mcmillan,Marketing,PEP,brandon01@hotmail.com,+1-511-990-1921x9277
E102,Victoria Robertson,Marketing,Admin,christinawarren@lawson.biz,536.426.9579
E103,Nicholas Graham,Marketing,Admin,marytyler@hotmail.com,001-295-980-3676x63925
E104,Laura Burke,Finance,User,ashley80@yahoo.com,+1-617-063-3076x4058
E105,Tony Espinoza,IT,PEP,ejones@gmail.com,930-448-5608
E106,Katherine Perez,HR,Manager,brittany38@gmail.com,6653743509
E107,Sharon Mack PhD,HR,Admin,lharris@gmail.com,(087)149-3863
E108,Jason Huff,Finance,Admin,eaguilar@gonzalez.info,001-072-231-3894x048
E109,Deborah Walker,Marketing,User,carrelizabeth@hotmail.com,(458)564-2999x49352
E110,Daniel Barrett PhD,Finance,Admin,roythompson@gmail.com,996.270.0731
E111,Anthony Miller,Operations,Manager,blackrachel@webb.info,063-598-6231x268
E112,Kenneth Webb,IT,PEP,caitlinberry@gmail.com,001-369-105-3990x3321
E113,Jack Clark,Operations,PEP,tthompson@mcdowell-abbott.com,935.481.0148
E114,Tracy Hernandez DDS,HR,PEP,nmartin@castillo.info,+1-991-072-3432x49012
E115,Patricia Ruiz,Operations,User,amy52@flores.com,(356)650-0897
E116,Michael Shelton,Finance,PEP,whernandez@gmail.com,(073)202-9914x92943
E117,Anne Khan,IT,Admin,chavezkatrina@yahoo.com,(975)325-5207
E118,Michelle Farley,Finance,PEP,stanleysabrina@cole.com,(638)555-2603x6014
E119,Christopher Moody,Marketing,PEP,tammyhaas@yahoo.com,(788)723-1495x6792
